일자,지수,대비,기관,외국인,개인,기타,금융투자,보험,투신,사모,은행,기타금융,연기금 등,국가,외인-기타,외국인합,기타법인,합계
2020-07-30,301.85,0.6,"-207,304","234,039","-35,103","7,312","48,791","-5,840","-31,091",976,470,"-4,153","-216,457",0,"1,055","235,095","7,312",0
2020-07-29,301.25,1.12,"-322,724","290,603","32,252","4,368","-126,195","-26,519","-33,577","-33,172",-36,"-7,944","-95,282",0,"-4,499","286,105","4,368",0
2020-07-28,300.13,6.62,"-271,509","1,261,867","-958,616","-28,122","-147,159","-51,769","-10,538","25,431",734,"-6,715","-81,493",0,"-3,621","1,258,247","-28,122",0
2020-07-27,293.51,2.85,"132,651","152,554","-286,428","9,196","189,767","-3,943","3,699","3,856","-7,681","-5,659","-47,387",0,"-7,973","144,582","9,196",0
2020-07-24,290.66,-1.71,"-315,758","91,910","221,632",817,"-113,165","-43,298","-38,663","-22,995","1,869",-420,"-99,086",0,"1,399","93,308",817,0
2020-07-23,292.37,-1.67,"-564,920","-181,415","724,380","24,494","-352,260","1,175","-94,740","-50,003","-2,536","3,890","-70,446",0,"-2,539","-183,953","24,494",0
2020-07-22,294.04,-1.12,"-167,225","-14,297","191,053","-8,099","-67,805","-12,873","-35,152","-45,548","1,351","-1,494","-5,705",0,"-1,431","-15,729","-8,099",0
2020-07-21,295.16,4.35,"176,590","422,502","-587,113","-9,024","326,194","-17,783","-43,904","-42,011","-13,630","-1,812","-30,464",0,"-2,955","419,547","-9,024",0
2020-07-20,290.81,-0.76,"-302,569","-76,640","372,751","8,432","-169,738","-66,903","-37,957",674,-21,"1,315","-29,939",0,"-1,975","-78,615","8,432",0
2020-07-17,291.57,2.32,"17,464","137,333","-129,257","-21,405","22,793","19,018","-3,522","-20,369","3,431","-1,407","-2,481",0,"-4,135","133,198","-21,405",0
2020-07-16,289.25,-3.02,"-169,883","-89,561","239,787","20,422","-21,404","-9,549","-35,854","-9,450","-1,037","1,097","-93,685",0,-766,"-90,327","20,422",0
2020-07-15,292.27,2.64,"316,785","313,025","-618,528","-6,848","440,341","-40,943","-14,712","-2,345",784,"-4,178","-62,163",0,"-4,434","308,591","-6,848",0
2020-07-14,289.63,-0.21,"-379,138","11,449","366,618","1,129","-163,616","-45,621","-9,761","-14,330",-264,"-7,986","-137,561",0,-58,"11,391","1,129",0
2020-07-13,289.84,4.78,"194,545","97,290","-283,671","-4,620","91,963","-9,186","-6,870",702,11,"-5,168","123,093",0,"-3,543","93,747","-4,620",0
2020-07-10,285.06,-2.19,"-711,433","-334,614","1,034,934","8,740","-442,828","-19,358","-58,344","-39,732","1,526","1,015","-153,712",0,"2,373","-332,242","8,740",0
2020-07-09,287.25,1.28,"-325,454","15,040","326,737","-19,653","-165,915","-33,194","-23,690","-19,239",558,"-1,382","-82,592",0,"3,329","18,369","-19,653",0
2020-07-08,285.97,-0.8,"-326,131","-158,395","481,257","5,365","-139,784","-31,672","-71,459","-45,416",-960,"-2,684","-34,157",0,"-2,095","-160,490","5,365",0
2020-07-07,286.77,-3.85,"-446,377","-183,264","612,140","15,480","-98,250","-31,662","-69,220","-25,349","7,123","-5,611","-223,408",0,"2,022","-181,243","15,480",0
