일자,지수,대비,기관,외국인,개인,기타,금융투자,보험,투신,사모,은행,기타금융,연기금 등,국가,외인-기타,외국인합,기타법인,합계
2020-09-16,"2,078.61",-9.89,"2,829","4,743","8,882","-17,004","10,454","-2,261","-1,230","-3,673",-629,37,131,0,551,"5,293","-17,004",0
2020-09-15,"2,088.50",6.05,"-16,352","-27,234","46,801","-3,603","-3,865","-2,868","-2,438","-4,044",-163,-691,"-2,283",0,388,"-26,846","-3,603",0
2020-09-14,"2,082.45",22.15,"-5,735","24,261","-2,732","-15,452","12,131","-2,205","-3,956","-12,376",-243,-576,"1,489",0,-342,"23,919","-15,452",0
2020-09-11,"2,060.30",1.18,"-18,250","-31,813","52,738","-2,081",-139,"-4,386","-5,129","-5,240",-203,-738,"-2,416",0,-594,"-32,407","-2,081",0
2020-09-10,"2,059.12",46.38,"-5,906","-13,688","22,487","-3,341","-2,540",-187,87,"-2,057",-207,-231,-772,0,447,"-13,240","-3,341",0
2020-09-09,"2,012.74",-13.67,"-9,097","-7,608","17,025",-903,87,923,"-5,259","-2,633",-792,-13,"-1,410",0,584,"-7,024",-903,0
2020-09-08,"2,026.41",-18.99,"-5,180","-31,948","33,714","2,263","-4,475",-888,"-7,622","9,405",111,2,"-1,714",0,"1,150","-30,798","2,263",0
2020-09-07,"2,045.40",36,-501,"29,554","-28,411","-1,156",-253,998,"-1,426","3,001","-1,882",92,"-1,032",0,514,"30,068","-1,156",0
2020-09-04,"2,009.40",5.02,"-12,093","5,752","10,042","-2,058",-960,385,"-3,699","-2,076","-2,579",-753,"-2,410",0,"-1,642","4,110","-2,058",0
2020-09-03,"2,004.38",14.12,"-3,042","-3,525","6,308",618,114,-690,"-1,923","1,517","-3,026",-227,"1,193",0,-358,"-3,883",618,0
2020-09-02,"1,990.26",26.45,"-5,951","-14,562","15,183","4,549",-105,-908,"2,881","-2,652",-194,-805,"-4,169",0,781,"-13,780","4,549",0
2020-09-01,"1,963.81",25.34,"1,059","-18,362","12,407","4,918",-151,-787,"2,190",-567,"-1,219",-81,"1,674",0,-21,"-18,383","4,918",0
2020-08-31,"1,938.47",19.39,"-1,936","9,961","-20,145","11,794","1,941",-804,-72,"1,208",-447,177,"-3,939",0,326,"10,287","11,794",0
2020-08-28,"1,919.08",30.48,526,"33,960","-27,701","-6,254","2,046",-418,361,-721,-282,"-1,966","1,506",0,-530,"33,429","-6,254",0
2020-08-27,"1,888.60",-30.53,"-12,566","-85,016","95,975","1,368",-426,-955,"-4,675","-2,045",146,"-1,382","-3,229",0,238,"-84,778","1,368",0
2020-08-26,"1,919.13",17.71,"-4,598","-27,893","34,513","-1,998","-4,255",-409,"1,000",-241,111,18,-822,0,-24,"-27,918","-1,998",0
2020-08-25,"1,901.42",48.26,"-5,005","23,538","-17,951",-793,-491,"-1,827","1,266","-5,456",-458,-8,"1,969",0,211,"23,749",-793,0
2020-08-24,"1,853.16",23.56,"-4,095","21,742","-18,114","1,401",-857,"-1,782","-1,993",290,-365,-816,"1,429",0,-934,"20,808","1,401",0
2020-08-21,"1,829.60",6.46,"-15,920","-14,598","29,713","2,137","-1,680","-1,619","-1,697","-7,624",-90,-898,"-2,312",0,"-1,332","-15,930","2,137",0
2020-08-20,"1,823.14",-53.3,"-8,268","-36,017","38,391","3,293","-1,357","-4,718","-1,345","-1,042",24,-18,188,0,"2,601","-33,417","3,293",0
2020-08-19,"1,876.44",38.1,"-9,967","44,426","-21,633","-12,844","1,635","-1,051","-3,010","-2,034","-5,192",-53,-263,0,18,"44,444","-12,844",0
2020-08-18,"1,838.34",-96.39,"-14,026","-18,086","30,572","1,812","-2,193","-1,678","-5,050",-74,-156,-261,"-4,614",0,-272,"-18,358","1,812",0
2020-08-14,"1,934.73",-9.74,"-11,071","-12,404","20,032","2,880","-2,374","1,270","-5,368","-1,586",-207,-184,"-2,621",0,562,"-11,842","2,880",0
2020-08-13,"1,944.47",15.74,"-28,628",-232,"30,574","-2,933","-1,503","-10,644","-4,256","-3,943","-2,322",-200,"-5,760",0,"1,220",987,"-2,933",0
2020-08-12,"1,928.73",-8.66,"-22,853","13,884","28,193","-18,652","-5,016","-6,305","-7,591",-810,-100,-316,"-2,716",0,-572,"13,312","-18,652",0
2020-08-11,"1,937.39",-2.62,"-40,563","-11,294","62,361","-8,284","-1,604","-12,338","-8,257","-3,429","-2,762","-1,617","-10,556",0,"-2,219","-13,513","-8,284",0
2020-08-10,"1,940.01",21.19,"-17,437","3,164","15,188","-2,088","-3,687","-3,080","-4,145","-1,681","-1,366",-13,"-3,465",0,"1,173","4,337","-2,088",0
