일자,지수,대비,기관,외국인,개인,기타,금융투자,보험,투신,사모,은행,기타금융,연기금 등,국가,외인-기타,외국인합,기타법인,합계
2020-09-23,"2,505.00",-2.69,"-20,763",-362,"24,197","-1,093","-21,914","1,135",926,"-3,412","-1,704","3,344",862,0,"-1,979","-2,341","-1,093",0
2020-09-22,"2,507.69",-93.18,"-98,143","-25,832","336,244","-213,392","-45,867","-8,337","-15,094","-5,796","-3,234","1,286","-21,100",0,"1,122","-24,709","-213,392",0
2020-09-21,"2,600.87",-40.91,"-33,017","-12,224","56,046","-8,982","-5,122","-4,049","-7,053","-8,426","-1,458","1,672","-8,581",0,"-1,822","-14,047","-8,982",0
2020-09-18,"2,641.78",37.07,"-38,060","194,746","-155,340","-3,500","-5,671","-4,983","-6,116","-9,511",-749,-462,"-10,569",0,"2,154","196,900","-3,500",0
2020-09-17,"2,604.71",-26.86,"-30,353","-33,914","62,514","2,144","-15,864","-3,307","-3,324","-4,115",-317,-164,"-3,262",0,-390,"-34,304","2,144",0
2020-09-16,"2,631.57",-8.75,"-61,533","-1,019","59,894","1,119","-16,325","-4,552","-25,816","-7,865",-775,-634,"-5,566",0,"1,539",519,"1,119",0
2020-09-15,"2,640.32",10.24,"-28,285","13,509","15,697",-401,"-9,269","-6,224","-10,587","7,394",-961,-461,"-8,176",0,-520,"12,989",-401,0
2020-09-14,"2,630.08",21.8,"-22,929","-28,412","52,221","-1,646","-6,534","2,423","-6,529",872,35,278,"-13,474",0,766,"-27,646","-1,646",0
2020-09-11,"2,608.28",12.6,"-33,667","8,089","51,918","-27,072","-13,025","1,052","-12,814",277,-167,567,"-9,557",0,732,"8,821","-27,072",0
2020-09-10,"2,595.68",19.78,"-1,740","-20,121","24,494","-1,708","-2,737","-1,358",-552,"5,858",94,"1,829","-4,875",0,-925,"-21,045","-1,708",0
2020-09-09,"2,575.90",-44.93,"-52,386","-31,072","88,358","-5,480","4,148","-1,059","-26,141","-11,184","-2,566",423,"-16,008",0,579,"-30,492","-5,480",0
2020-09-08,"2,620.83",-23.11,"-45,340","-74,864","134,289","-15,060","-14,423","-2,924","-22,602","-10,361",-685,887,"4,767",0,976,"-73,888","-15,060",0
2020-09-07,"2,643.94",42.06,"70,204","5,587","-66,134","-8,188","38,572","-1,547","23,624","18,006","-2,606",444,"-6,288",0,"-1,470","4,117","-8,188",0
2020-09-04,"2,601.88",-8.05,"-48,643","-28,724","103,870","-27,791","-58,650","2,610","-4,531","-17,714","1,446","1,411","26,785",0,"1,287","-27,437","-27,791",0
2020-09-03,"2,609.93",21.69,"-37,693","35,419","-4,525","6,183","-15,567","1,355","-5,356","-4,213",-17,"1,142","-15,038",0,617,"36,036","6,183",0
2020-09-02,"2,588.24",34.5,"-11,275","36,198","-7,069","-16,424","-1,830",240,"-8,950","-2,600",-109,"-1,201","3,175",0,"-1,430","34,768","-16,424",0
2020-09-01,"2,553.74",35.69,"-4,379","29,956","-39,299","13,079","7,753","2,158","-8,365","1,405","-3,689",-108,"-3,534",0,643,"30,599","13,079",0
2020-08-31,"2,518.05",58.73,"12,324","141,054","-148,307","-3,495","-1,855","3,775","11,828",-961,"-4,023",234,"3,325",0,"-1,575","139,479","-3,495",0
2020-08-28,"2,459.32",18.2,"-33,492","29,393","13,165","-9,819",264,"-13,009","-17,642","-2,029","-1,484",-131,538,0,753,"30,146","-9,819",0
2020-08-27,"2,441.12",-36.4,"-59,643","-20,950","81,858","-1,615","-26,541","-5,689","-2,558","-14,110",-526,-107,"-10,113",0,350,"-20,600","-1,615",0
2020-08-26,"2,477.52",-11.62,"-63,194","-44,114","102,938","3,589","-24,868",-900,"-12,528","-26,168",-255,176,"1,350",0,781,"-43,333","3,589",0
2020-08-25,"2,489.14",63.87,"-27,990",753,"22,530","4,614","-12,562","-11,722","-8,314","-6,410","-1,048",459,"11,608",0,94,847,"4,614",0
2020-08-24,"2,425.27",25.12,"-5,089","58,226","-56,323","3,096","1,931",-355,"-3,076","-9,951",770,277,"5,315",0,90,"58,316","3,096",0
2020-08-21,"2,400.15",17.5,"-35,135","5,045","32,931","-2,532",-152,"-1,204","-10,803","-12,333",-380,297,"-10,561",0,-309,"4,736","-2,532",0
2020-08-20,"2,382.65",-76.56,"-83,983","-78,303","155,654","6,208","-40,232","-18,362","-4,507","-10,427",-317,721,"-10,859",0,423,"-77,879","6,208",0
2020-08-19,"2,459.21",47.34,434,"56,818","-58,246","1,836","-1,490","-7,966","-3,656","12,105",290,7,"1,143",0,-842,"55,976","1,836",0
2020-08-18,"2,411.87",-103.16,"-24,458","22,230","-3,237","5,886","18,409",647,"-16,615","-10,085",299,-307,"-16,807",0,-420,"21,809","5,886",0
2020-08-14,"2,515.03",-14.3,"-34,174","-3,917","43,295","-5,347","6,083","-2,639","-17,649","-25,007",926,"-4,152","8,265",0,143,"-3,774","-5,347",0
2020-08-13,"2,529.33",0.95,"-51,139","6,880","60,346","-15,687","24,740","-7,494","-38,574","-5,601","-1,012",-416,"-22,782",0,-400,"6,480","-15,687",0
2020-08-12,"2,528.38",0.67,"-104,503","-8,471","124,855","-11,996","-18,465","-22,571","-26,186","-29,076","-2,469","-1,697","-4,040",0,116,"-8,356","-11,996",0
2020-08-11,"2,527.71",28.71,"-53,143","-1,502","55,825","-2,318","18,560","-29,122","-11,797","-22,484","-3,678",-82,"-4,540",0,"1,137",-364,"-2,318",0
2020-08-10,"2,499.00",55.13,"17,705","90,412","-112,748","3,338","34,621","-9,727",-666,"-7,523",-520,"2,545","-1,025",0,"1,293","91,705","3,338",0
2020-08-07,"2,443.87",-6.56,"-64,364","-28,087","97,244","-3,749","-13,826","-4,728","-11,315","-12,931",-889,517,"-21,193",0,"-1,044","-29,130","-3,749",0
2020-08-06,"2,450.43",28.25,"6,049","48,955","-54,034","-2,986","26,063","-4,478","-8,358","-6,791","1,245",-791,-840,0,"2,016","50,971","-2,986",0
2020-08-05,"2,422.18",21.13,"-47,107","-46,088","101,685","-5,273","-16,982","-9,463","-6,328",-673,-524,804,"-13,942",0,"-3,217","-49,305","-5,273",0
2020-08-04,"2,401.05",55.52,"24,643","47,741","-65,769","-7,425","15,313","-3,532","-4,537","11,959","-1,235",811,"5,865",0,810,"48,551","-7,425",0
2020-08-03,"2,345.53",-1.87,"-43,985","-10,697","52,277","1,498","-16,688","-4,548","-16,766",297,292,"-1,026","-5,547",0,907,"-9,791","1,498",0
2020-07-31,"2,347.40",-30.11,"-43,814","-13,922","101,147","-43,488","-19,594","-11,022","-14,804","-1,902",166,-390,"3,731",0,78,"-13,844","-43,488",0
2020-07-30,"2,377.51",16.07,"-26,196","28,168","-6,493","3,502","-3,640","-12,619","-4,230","2,369",-58,394,"-8,413",0,"1,019","29,187","3,502",0
2020-07-29,"2,361.44",6.65,"-49,269",-432,"53,408","-4,189","-8,062","-7,884","-13,132","-9,699","-1,729","-1,024","-7,739",0,482,50,"-4,189",0
