date,actual,prediction
485,2755.47,2667.44
486,2746.46,2764.1
487,2770.06,2719.13
488,2762.2,2764.15
489,2756.82,2737.02
490,2771.79,2737.8
491,2770.43,2757.86
492,2772.18,2747.62
493,2778.65,2752.15
494,2733.68,2758.69
495,2759.82,2694.03
496,2806.86,2753.04
497,2808.6,2796.57
498,2820.51,2779.8
499,2873.47,2800.76
500,2944.45,2866.81
501,2990.57,2939.33
502,2968.21,2972.74
503,3031.68,2926.95
504,3152.18,3036.9
505,3148.45,3161.64
506,3125.95,3095.9
507,3148.29,3091.46
508,3149.93,3130.46
509,3085.9,3115.46
510,3013.93,3029.23
511,3092.66,2967.76
512,3114.55,3107.97
513,3160.84,3069.32
514,3140.63,3141.31
515,3208.99,3076.35
516,3140.31,3202.07
517,3122.56,3047.13
518,3069.05,3095.49
519,2976.21,3004.7
520,3056.53,2915.49
521,3096.81,3071.05
522,3129.68,3054.14
523,3087.55,3097.09
524,3120.63,3016.2
525,3091.24,3101.96
526,3084.67,3025.9
527,3100.58,3051.79
528,3147,3066.32
529,3163.25,3124.19
530,3133.73,3118.27
531,3086.66,3077.64
532,3107.62,3033.27
533,3079.75,3087.92
534,3070.09,3023.97
535,2994.98,3037.13
536,3099.69,2926.04
537,3012.95,3122.78
538,3043.87,2910.68
539,3082.99,3043.8
